User ID,From Station,To Station,Vehicle ID,Unlock Time,Lock Time,Total Time,Battery Used,Distance
104,6,25,41,0,0.0,1.8973665961010227,47.4341649025257,9.486832980505138
106,3,11,19,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
107,14,8,87,0,0.0,0.5999999999999943,15.0,3.0
91,22,15,99,17.099999999999994,0.0,17.94852813742385,21.213203435596427,4.242640687119285
112,14,31,86,0,0.0,1.8973665961010227,47.4341649025257,9.486832980505138
113,28,14,170,0,0.0,1.6970562748477107,42.42640687119285,8.48528137423857
114,14,18,85,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
93,13,21,71,21.28459753694507,0.0,22.62623832344495,33.54101966249685,6.708203932499369
36,12,14,100,83.4,0.0,84.60000000000001,30.0,6.0
54,30,22,94,65.29331162702407,0.0,67.97659320002381,67.0820393249937,13.416407864998739
120,22,6,153,0,0.0,2.6832815729997463,67.0820393249937,13.416407864998739
115,17,8,11,5.8203545502476715,0.0,7.717721146348694,47.4341649025257,9.486832980505138
103,17,19,172,17.82035455024767,0.0,20.29421792561827,61.846584384264915,12.36931687685298
118,15,22,93,5.797770542341354,0.0,6.646298679765209,21.213203435596427,4.242640687119285
109,15,3,99,14.797770542341354,0.0,15.997770542341357,30.0,6.0
123,3,12,18,0,0.0,2.1633307652783884,54.083269131959845,10.816653826391969
125,12,19,10,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
48,23,1,14,76.09331162702406,0.0,79.09331162702406,75.0,15.0
111,13,7,16,16.36808176500017,0.0,16.968081765000164,15.0,3.0
108,13,10,29,19.36808176500017,0.0,21.265448361101193,47.4341649025257,9.486832980505138
74,23,3,196,53.266472444356054,0.0,55.42980320963446,54.083269131959845,10.816653826391969
129,24,26,146,0,0.0,1.1999999999999886,30.0,6.0
87,32,24,47,43.421636578116676,0.0,44.763277364616556,33.54101966249685,6.708203932499369
131,20,10,123,0,0.0,1.6970562748477107,42.42640687119285,8.48528137423857
130,17,0,106,0,0.0,3.231098884280698,80.77747210701756,16.15549442140351
134,23,14,154,0,0.0,1.8973665961010227,47.4341649025257,9.486832980505138
135,23,34,142,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
137,11,17,19,0,0.0,0.5999999999999943,15.0,3.0
105,32,16,125,32.39850908666108,0.0,34.56183985193948,54.083269131959845,10.816653826391969
110,2,4,209,28.775329359192995,0.0,29.975329359192983,30.0,6.0
66,25,27,41,73.10128202786902,0.0,74.30128202786901,30.0,6.0
124,21,32,71,15.104952087192743,0.0,16.446592873692623,33.54101966249685,6.708203932499369
139,33,24,107,0,0.0,1.8973665961010227,47.4341649025257,9.486832980505138
